#CMD# netstat -a
#TSP#  20090108-170059 
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State      
tcp        0      0 localhost.local:TST511_IO_A localhost.localdomain:55500 ESTABLISHED 
tcp        0      0 casdlsup06:48150            casdlsup06:TST530_IO_A      ESTABLISHED 
tcp        0      0 casdlsup06:48148            casdlsup06:TST530_IO_A      ESTABLISHED 
tcp        0      0 localhost.localdomain:60507 localhost.loca:PRE530_DQM_X ESTABLISHED 
tcp        0      0 casdlsup06:FLS520_IO_X      casdlsup06:48580            ESTABLISHED 
tcp        0      0 casdlsup06:41492            casdlsup06:TST530_DQM_A     ESTABLISHED 
tcp        0      0 casdlsup06:PRE530_IO_X      casdlsup06:58110            ESTABLISHED 
tcp        0      0 localhost.localdomain:60607 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:60602 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:60596 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:60593 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:60587 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:60582 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:60578 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:60573 localhost.local:TST500_IO_X ESTABLISHED 
tcp        0      0 casdlsup06:35123            support7:TST530_CDJ_X       ESTABLISHED 
tcp        0      0 localhost.localdomain:55500 localhost.local:TST511_IO_A ESTABLISHED 
tcp        0      0 casdlsup06:FLS520_IO_A      casdlsup06:42491            ESTABLISHED 
tcp        0      0 casdlsup06:FLS530_IO_X      casdlsup06:59592            ESTABLISHED 
tcp        0      0 casdlsup06:59592            casdlsup06:FLS530_IO_X      ESTABLISHED 
tcp        0      0 casdlsup06:38666            casdlsup06:TST530_DQM_A     TIME_WAIT   
tcp        0      0 casdlsup06:38658            casdlsup06:TST530_DQM_A     TIME_WAIT   
tcp        0      0 casdlsup06:38674            casdlsup06:TST530_DQM_A     TIME_WAIT   
tcp        0      0 casdlsup06:38639            casdlsup06:TST530_DQM_A     TIME_WAIT   
tcp        0      0 casdlsup06:38650            casdlsup06:TST530_DQM_A     TIME_WAIT   
tcp        0      0 localhost.localdomain:58997 localhost.local:TST500_IO_A ESTABLISHED 
tcp        0      0 localhost.localdomain:59002 localhost.local:TST500_IO_A ESTABLISHED 
tcp        0      0 localhost.localdomain:58991 localhost.local:TST500_IO_A ESTABLISHED 
tcp        0      0 casdlsup06:40787            support5:TST530_CDJ_X       ESTABLISHED 
tcp        0      0 localhost.localdomain:58970 localhost.local:TST500_IO_A ESTABLISHED 
tcp        0      0 localhost.localdomain:54341 localhost.local:TST511_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:54322 localhost.local:TST511_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:54334 localhost.local:TST511_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:54313 localhost.local:TST511_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:54300 localhost.local:TST511_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55445 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55452 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55429 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55436 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55473 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55458 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55466 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55387 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55388 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55391 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55408 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55416 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55417 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55423 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55392 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55399 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.localdomain:55403 localhost.local:PRE530_IO_X ESTABLISHED 
tcp        0      0 localhost.local:FLS510_IO_X localhost.localdomain:37102 ESTABLISHED 
tcp        0      0 localhost.local:FLS530_IO_X localhost.localdomain:46547 ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_S localhost.localdomain:43475 ESTABLISHED 
tcp        0      0 localhost.local:FLS530_IO_X localhost.localdomain:46548 ESTABLISHED 
tcp        0      0 localhost.loca:UNI532_CDJ_S localhost.localdomain:43483 ESTABLISHED 
tcp        0      0 casdlsup06:39109            casdlsup06:52004            ESTABLISHED 
tcp        0      0 casdlsup06:39108            casdlsup06:52004            ESTABLISHED 
tcp        0      0 localhost.local:TST511_IO_S localhost.localdomain:37277 ESTABLISHED 
