#CMD# ps -efw
#TSP#  20090108-170129 
UID        PID  PPID  C STIME TTY          TIME CMD
root      9174  9173  0 16:19 pts/4    00:00:20 java -Xmx1024m -Xms512m -cp exec/c3p0-0.9.1.2.jar:exec/ehcache-1.2.3.jar:exec/commons-codec-1.2.jar:exec/ant.jar:exec/antlr-2.7.6.jar:exec/api.jar:exec/art.jar:exec/cglib-nodep-2.1_3.jar:exec/comm.jar:exec/commons-beanutils.jar:exec/commons-betwixt-0.8.jar:exec/commons-codec-1.3.jar:exec/commons-collections-3.2.jar:exec/commons-dbcp-1.2.1.jar:exec/commons-digester-1.8.jar:exec/commons-logging-1.1.jar:exec/commons-pool-1.4.jar:exec/dom4j-1.6.1.jar:exec/DUJavaWebConsole.jar:exec/Extensions.jar:exec/hibernate3.jar:exec/jaxen-1.1-beta-6.jar:exec/jta.jar:exec/log4j-1.2.14.jar:exec/log4j-extras.jar:exec/monitoring.jar:exec/monitoring-std.jar:exec/mysql-connector-java-5.0.3-bin.jar:exec/ojdbc14.jar:exec/RepPubCommon.jar:exec/servlet-api.jar:exec/spring.jar:exec/sqljdbc.jar:exec/stdimpl.jar:exec/Swing.jar:exec/util.jar:exec/RepPubServer.jar:exec/wco-servlet.jar:exec/userfile.jar:exec/userlicense.jar:exec/jtds-1.2.jar:exec/itext-1.3.1.jar:exec/jasperreports-3.0.0.jar:exec/jasperreports-extensions-1.3.1.jar:exec/jcommon-1.0.9.jar:exec/jfreechart-1.0.11.jar:exec/mail-1.4.jar:exec/activation.jar com.orsyp.reppub.server.communication.ServerStartUp
postfix  14532  1950  0 16:30 ?        00:00:00 pickup -l -t fifo -u
root     14855  1885  0 16:31 ?        00:00:00 sshd: bta [priv] 
bta      14858 14855  0 16:31 ?        00:00:00 sshd: bta@pts/8  
bta      14859 14858  0 16:31 pts/8    00:00:00 -bash
root     14891 14859  0 16:32 pts/8    00:00:00 su univa
univa    14892 14891  0 16:32 pts/8    00:00:00 bash
univa    14910 14892  0 16:32 pts/8    00:00:00 /bin/bash /etc/daenv/du/LoadDuEnv
univa    15325 14910  0 16:32 pts/8    00:00:00 ksh
root     23115 26177  0 16:59 pts/7    00:00:00 /bin/ksh ./uxtrace
root     23327  5551  0 16:59 pts/5    00:00:00 /bin/ksh ./uxtrace
root     26558 23327  0 17:01 pts/5    00:00:00 vmstat 1 5
root     26569 23115  0 17:01 pts/7    00:00:00 ps -efw
